CODICE,DESCRIZIONE
A00.0,"COLERA - COLERA DA VIBRIO CHOLERAE 01, BIOTIPO DEL COLERA"
A00.1,"COLERA - COLERA DA VIBRIO CHOLERAE 01, BIOTIPO ELTOR"
A00.9,COLERA - COLERA NON SPECIFICATO
A01.0,FEBBRE TIFOIDE E PARATIFO - FEBBRE TIFOIDE
A01.1,FEBBRE TIFOIDE E PARATIFO - PARATIFO A
A01.2,FEBBRE TIFOIDE E PARATIFO - PARATIFO B
A01.3,FEBBRE TIFOIDE E PARATIFO - PARATIFO C
A01.4,FEBBRE TIFOIDE E PARATIFO - PARATIFO NON SPECIFICATO
A02.0,ALTRE INFEZIONI DA SALMONELLA - ENTERITE DA SALMONELLA
A02.1,ALTRE INFEZIONI DA SALMONELLA - SEPSI DA SALMONELLA
A02.2,ALTRE INFEZIONI DA SALMONELLA - INFEZIONI LOCALIZZATE DA SALMONELLA
A02.8,"ALTRE INFEZIONI DA SALMONELLA - ALTRE INFEZIONI DA SALMONELLA, SPECIFICATE"
A02.9,"ALTRE INFEZIONI DA SALMONELLA - INFEZIONE DA SALMONELLA, NON SPECIFICATA"
A03.0,SHIGELLOSI - SHIGELLOSI DA SHIGELLA DYSENTERIAE
A03.1,SHIGELLOSI - SHIGELLOSI DA SHIGELLA FLEXNERI
A03.2,SHIGELLOSI - SHIGELLOSI DA SHIGELLA BOYDII
A03.3,SHIGELLOSI - SHIGELLOSI DA SHIGELLA SONNEI
A03.8,SHIGELLOSI - ALTRE SHIGELLOSI
A03.9,SHIGELLOSI - SHIGELLOSI NON SPECIFICATA
A04.0,ALTRE INFEZIONI BATTERICHE INTESTINALI - INFEZIONE DA ESCHERICHIA COLI ENTEROPATOGENA
A04.1,ALTRE INFEZIONI BATTERICHE INTESTINALI - INFEZIONE DA ESCHERICHIA COLI ENTEROTOSSIGENA
A04.2,ALTRE INFEZIONI BATTERICHE INTESTINALI - INFEZIONE DA ESCHERICHIA COLI ENTEROINVASIVA
A04.3,ALTRE INFEZIONI BATTERICHE INTESTINALI - INFEZIONE DA ESCHERICHIA COLI ENTEROEMORRAGICA
A04.4,ALTRE INFEZIONI BATTERICHE INTESTINALI - ALTRE INFEZIONI INTESTINALI DA ESCHERICHIA COLI
A04.5,ALTRE INFEZIONI BATTERICHE INTESTINALI - ENTERITE DA CAMPYLOBACTER
A04.6,ALTRE INFEZIONI BATTERICHE INTESTINALI - ENTERITE DA YERSINIA ENTEROCOLITICA
A04.7,ALTRE INFEZIONI BATTERICHE INTESTINALI - ENTEROCOLITE DA CLOSTRIDIUM DIFFICILE
A04.8,ALTRE INFEZIONI BATTERICHE INTESTINALI - ALTRE INFEZIONI BATTERICHE INTESTINALI SPECIFICATE
A04.9,ALTRE INFEZIONI BATTERICHE INTESTINALI - INFEZIONE BATTERICA INTESTINALE NON SPECIFICATA
A05.0,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE NON CLASSIFICATE ALTROVE - INTOSSICAZIONE ALIMENTARE DA STAFILOCOCCO
A05.1,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE NON CLASSIFICATE ALTROVE - BOTULISMO
A05.2,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE NON CLASSIFICATE ALTROVE - INTOSSICAZIONE ALIMENTARE DA CLOSTRIDIUM PERFRINGENS (CLOSTRIDIUM WELCHII)
A05.3,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE NON CLASSIFICATE ALTROVE - INTOSSICAZIONE ALIMENTARE DA VIBRIO PARAHAEMOLYTICUS
A05.4,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE NON CLASSIFICATE ALTROVE - INTOSSICAZIONE ALIMENTARE DA BACILLUS CEREUS
A05.8,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE NON CLASSIFICATE ALTROVE - ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE SPECIFICATE
A05.9,ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE NON CLASSIFICATE ALTROVE - INTOSSICAZIONE ALIMENTARE BATTERICA NON SPECIFICATA
A06.0,AMEBIASI - DISSENTERIA AMEBICA ACUTA
A06.1,AMEBIASI - AMEBIASI INTESTINALE CRONICA
A06.2,AMEBIASI - COLITE AMEBICA NON DISSENTERICA
A06.3,AMEBIASI - AMEBOMA DELL'INTESTINO
A06.4,AMEBIASI - ASCESSO AMEBICO DEL FEGATO (K77.0*)
A06.5,AMEBIASI - ASCESSO AMEBICO DEL POLMONE (J99 8*)
A06.6,AMEBIASI - ASCESSO AMEBICO DELL'ENCEFALO (G07*)
A06.7,AMEBIASI - AMEBIASI CUTANEA
A06.8,AMEBIASI - INFEZIONE AMEBICA DI ALTRE SEDI
A06.9,AMEBIASI - AMEBIASI NON SPECIFICATA
A07.0,ALTRE MALATTIE INTESTINALI DA PROTOZOI - BALANTIDIOSI
A07.1,ALTRE MALATTIE INTESTINALI DA PROTOZOI - GIARDIASI (LAMBLIASI)
A07.2,ALTRE MALATTIE INTESTINALI DA PROTOZOI - CRIPTOSPORIDIOSI
A07.3,ALTRE MALATTIE INTESTINALI DA PROTOZOI - ISOSPORIASI
A07.8,ALTRE MALATTIE INTESTINALI DA PROTOZOI - ALTRE MALATTIE INTESTINALI DA PROTOZOI SPECIFICATE
A07.9,ALTRE MALATTIE INTESTINALI DA PROTOZOI - MALATTIA INTESTINALE DA PROTOZOI NON SPECIFICATA
A08.0,INFEZIONI VIRALI INTESTINALI ED ALTRE INFEZIONI INTESTINALI SPECIFICATE - ENTERITE DA ROTAVIRUS
A08.1,INFEZIONI VIRALI INTESTINALI ED ALTRE INFEZIONI INTESTINALI SPECIFICATE - GASTROENTEROPATIA ACUTA DA AGENTE DI NORWALK
A08.2,INFEZIONI VIRALI INTESTINALI ED ALTRE INFEZIONI INTESTINALI SPECIFICATE - ENTERITE DA ADENOVIRUS
A08.3,INFEZIONI VIRALI INTESTINALI ED ALTRE INFEZIONI INTESTINALI SPECIFICATE - ALTRE ENTERITI VIRALI
A08.4,INFEZIONI VIRALI INTESTINALI ED ALTRE INFEZIONI INTESTINALI SPECIFICATE - INFEZIONE VIRALE INTESTINALE NON SPECIFICATA
A08.5,INFEZIONI VIRALI INTESTINALI ED ALTRE INFEZIONI INTESTINALI SPECIFICATE - ALTRE INFEZIONI INTESTINALI SPECIFICATE
A09.0,ALTRE GASTROENTERITI E COLITI DI ORIGINE INFETTIVA E NON SPECIFICATA - ALTRE E NON SPECIFICATE GASTROENTERITI E COLITI DI ORIGINE INFETTIVA
A09.9,ALTRE GASTROENTERITI E COLITI DI ORIGINE INFETTIVA E NON SPECIFICATA - GASTROENTERITI E COLITI DI ORIGINE NON SPECIFICATA
A15.0,"TUBERCOLOSI RESPIRATORIA, CONFERMATA BATTERIOLOGICAMENTE ED ISTOLOGICAMENTE - TUBERCOLOSI DEL POLMONE, CONFERMATA DALL'ESAME MICROSCOPICO DELL'ESCREATO CON O SENZA ESAME COLTURALE"
